idx,src_node_id,src_idx,src_optode_name,src_wl,src_coords_3d,det_node_id,det_idx,det_optode_name,det_coords_3d
1284,5,3,C,735,,9,4,4,
1285,5,3,C,735,,10,1,1,
1286,5,3,C,735,,10,2,2,
1287,5,3,C,735,,10,3,3,
1288,5,3,C,735,,10,4,4,
1289,5,3,C,735,,11,1,1,
1290,5,3,C,735,,11,2,2,
1291,5,3,C,735,,11,3,3,
1292,5,3,C,735,,11,4,4,
1293,5,3,C,735,,12,1,1,
1294,5,3,C,735,,12,2,2,
1295,5,3,C,735,,12,3,3,
1296,5,3,C,735,,12,4,4,
1297,5,4,A,850,,1,1,1,
1298,5,4,A,850,,1,2,2,
1299,5,4,A,850,,1,3,3,
1300,5,4,A,850,,1,4,4,
1301,5,4,A,850,,2,1,1,
1302,5,4,A,850,,2,2,2,
1303,5,4,A,850,,2,3,3,
1304,5,4,A,850,,2,4,4,
1305,5,4,A,850,,3,1,1,
1306,5,4,A,850,,3,2,2,
1307,5,4,A,850,,3,3,3,
1308,5,4,A,850,,3,4,4,
1309,5,4,A,850,,4,1,1,
1310,5,4,A,850,,4,2,2,
1311,5,4,A,850,,4,3,3,
1312,5,4,A,850,,4,4,4,
